,Unnamed: 0,Importance
0,Avg Sentence Length (words),0.0255294509330876
1,Word Count,0.0181264215158969
2,Dyslexia-Friendly Score,0.0169085030341931
3,Sound Words,0.0063714970501988
4,Rare/Abstract Words,0.0058808733706883
5,Avg Word Length (characters),0.0025102154947063
6,Passive Voice Sentences,0.0016156749737265
7,Avg Syllables per Word,0.0009429146106796
8,Taste Words,7.674229171356432e-05
9,Touch Words,-0.0019062023720935
10,Smell Words,-0.0024978524490372
11,Sight Words,-0.0131541466845564
12,Unique Word Count,-0.0164022954937302
13,Sentence Count,-0.1688782187648132
